,pca_comp_0,pca_comp_1
0,-7.294722209773062,-5.6172015208440484
1,-6.7879080822862585,-3.4282207058137883
2,-7.030237931176224,-4.690262451446912
3,-7.1106107751638365,-5.4917843161381645
4,-7.535135688794935,-2.4530410662210107
5,11.274833229467784,-1.8964591795052914
6,-7.172905500487432,-4.540941216445809
7,10.1794959192306,-2.3891592638764045
8,10.780314416291011,-1.7907172588392677
9,-6.476784423612974,-2.721899973421726
10,-5.286193443609703,1.9972564899259209
11,-6.152167446772855,-3.6587488431900064
12,11.735550797962333,-2.205884380931458
13,-6.397998127584579,-4.267457573234038
14,-5.105223908719451,2.3325944824007236
15,-4.219312992074994,3.4084657587829037
16,-6.533175146063922,-3.2937749329562394
17,-6.610136759218719,-3.7246400304325955
18,9.815227096888519,-2.834598080132895
19,-6.431671235259421,0.6873532199813489
20,11.39893241038479,-2.387276628598899
21,11.455484634781303,-2.214758774783222
22,-5.940470563912796,1.9953391661830493
23,-5.451537352985909,-3.2851896482029432
24,-5.638926274393733,-1.4751545088716749
25,-5.054982768806341,-2.7383091852186223
26,11.047536433392725,-2.311268614307051
27,-5.570327805937685,-3.899300909677082
28,-7.2785229655956,-1.7005973806480823
29,-5.440087949014388,-2.600503458954913
30,-5.316693613149084,-4.501407749979352
31,11.38590887922709,-1.983950368182484
32,-6.765751595647892,-1.6941880732621044
33,-6.3327452732847265,-3.329231095256706
34,11.813898478084152,-1.9417086538186248
35,-5.47523930495596,-1.9758301397565505
36,-5.149215781984645,-3.153640265507012
37,-7.109336910292148,-1.0833840544738038
38,-5.875214735041431,0.0843242488583288
39,-4.400649075804943,3.30866056999597
40,-6.7573069881453485,0.512981243968312
41,-6.379605702898835,-4.6458441734717795
42,-5.377547597218093,1.2209183856166594
43,-6.4510925906248895,0.29671362536023826
44,-6.026215464542877,0.11335085800391248
45,-5.164350769511809,-4.538406208073649
46,-2.331154594745446,4.7397795719304
47,-2.2240988735752243,4.716903231585497
48,11.896048306644156,-1.498422868639754
49,-3.987811211928383,2.7939224812932104
50,-5.694256127011049,0.17495722295543842
51,-6.240978480970464,-1.1939291136024273
52,-3.7512643762640985,2.244927677739838
53,-5.558655378849333,-1.1063755730530174
54,12.293440321220894,-1.7882309816577686
55,-5.4410886756483325,-5.683176695726992
56,-0.532100324089978,5.755831372722962
57,-2.672900089573708,4.0531724061375
58,-5.373820190799258,-4.900907210544276
59,-5.367709773583542,-2.831675326208999
60,-5.3893472433988885,-2.250942275016702
61,-5.147737344654989,2.0860442531715124
62,-6.220639380609537,-0.11449950347626532
63,-3.0913441165438544,3.66497322130829
64,-5.151151216482777,-4.779962071602162
65,-5.873996558450626,-2.9189365925643735
