sofifa_id,short_name,Positions,pca_comp_0,pca_comp_1,tsne_comp_0,tsne_comp_1,cluster_pca,cluster_tsne
158023,L. Messi,Midfielder,-7.2947222097731,-5.617201520642885,-20.66098,45.00829,2,3
188545,R. Lewandowski,Forward,-6.787908082286225,-3.428220706436631,-17.469412,48.804157,2,3
20801,Cristiano Ronaldo,Forward,-7.030237931176198,-4.690262451662679,-18.36294,48.07736,2,3
190871,Neymar Jr,Midfielder,-7.110610775163809,-5.491784316444557,-21.086353,44.317654,2,3
192985,K. De Bruyne,Midfielder,-7.535135688794911,-2.4530410664369717,-41.43464,21.212772,2,0
200389,J. Oblak,Goalkeeper,11.27483322946777,-1.896459179449246,52.227886,-11.154575,1,2
231747,K. Mbappé,Forward,-7.172905500487399,-4.540941216949699,-19.486656,47.03857,2,3
167495,M. Neuer,Goalkeeper,10.17949591923057,-2.3891592629465586,50.73364,-8.761728,1,2
192448,M. ter Stegen,Goalkeeper,10.78031441629098,-1.7907172582707076,51.030197,-9.271361,1,2
202126,H. Kane,Forward,-6.476784423612967,-2.721899973258397,-16.740156,49.600903,2,3
215914,N. Kanté,Midfielder,-5.286193443609694,1.9972564897749543,-45.43485,8.871976,0,0
165153,K. Benzema,Forward,-6.152167446772837,-3.658748843266933,-17.181541,48.643345,2,3
192119,T. Courtois,Goalkeeper,11.73555079796232,-2.205884381176632,53.138298,-11.406877,1,2
200104,H. Son,Midfielder,-6.3979981275845645,-4.267457573182338,-21.39809,44.11336,2,3
200145,Casemiro,Midfielder,-5.105223908719448,2.332594482393834,-48.331432,1.0378574,0,0
203376,V. van Dijk,Defender,-4.219312992074999,3.408465759381852,-32.8413,-40.281757,0,4
208722,S. Mané,Midfielder,-6.533175146063902,-3.293774933036187,-19.820013,47.51532,2,3
209331,M. Salah,Midfielder,-6.6101367592186895,-3.724640030802816,-19.933298,46.067696,2,3
210257,Ederson,Goalkeeper,9.8152270968885,-2.83459807961802,50.63288,-8.600189,1,2
212622,J. Kimmich,Midfielder,-6.431671235259411,0.687353220038942,-44.839386,14.161281,0,0
212831,Alisson,Goalkeeper,11.398932410384772,-2.387276628144085,51.450344,-10.37146,1,2
230621,G. Donnarumma,Goalkeeper,11.455484634781287,-2.2147587746487685,52.410454,-11.140058,1,2
155862,Sergio Ramos,Defender,-5.94047056391278,1.9953391658876287,-48.440193,0.60907835,0,0
176580,L. Suárez,Forward,-5.451537352985887,-3.2851896485210537,-16.897545,49.93721,2,3
182521,T. Kroos,Midfielder,-5.638926274393723,-1.475154508744554,-40.217,23.500534,2,0
192505,R. Lukaku,Forward,-5.05498276880634,-2.7383091848700896,-12.143405,51.209488,2,3
193041,K. Navas,Goalkeeper,11.047536433392722,-2.311268614412576,52.573742,-10.581673,1,2
202652,R. Sterling,Midfielder,-5.570327805937664,-3.8993009100016818,-23.74027,39.45379,2,3
212198,Bruno Fernandes,Midfielder,-7.278522965595578,-1.7005973810719497,-41.252167,19.231113,2,0
239085,E. Haaland,Forward,-5.440087949014353,-2.6005034595184164,-15.275435,52.314503,2,3
153079,S. Agüero,Forward,-5.316693613149054,-4.50140775025626,-16.311106,47.510616,2,3
167948,H. Lloris,Goalkeeper,11.385908879227069,-1.9839503676918924,54.716045,-13.111121,1,2
177003,L. Modrić,Midfielder,-6.765751595647871,-1.6941880734633652,-40.123363,20.08192,2,0
183898,Á. Di María,Midfielder,-6.332745273284698,-3.32923109568306,-25.964542,37.967632,2,3
186153,W. Szczęsny,Goalkeeper,11.813898478084138,-1.941708654070828,53.71989,-11.099971,1,2
189596,T. Müller,Midfielder,-5.4752393049559664,-1.9758301393226736,-15.305679,49.514164,2,3
192387,C. Immobile,Forward,-5.149215781984621,-3.1536402656781344,-15.259644,51.44696,2,3
195864,P. Pogba,Midfielder,-7.109336910292119,-1.0833840549196128,-43.71003,20.603643,2,0
199556,M. Verratti,Midfielder,-5.87521473504141,0.0843242484441292,-39.02023,20.33366,0,0
207865,Marquinhos,Defender,-4.400649075804956,3.3086605704955807,-28.91182,-38.043575,0,4
209658,L. Goretzka,Midfielder,-6.757306988145341,0.5129812441279822,-47.76888,7.4310064,0,0
211110,P. Dybala,Forward,-6.379605702898815,-4.645844173456088,-19.461195,39.73478,2,3
216267,A. Robertson,Defender,-5.377547597218088,1.2209183856146484,-43.787952,8.579337,0,0
228702,F. de Jong,Midfielder,-6.451092590624878,0.2967136252471856,-45.070904,13.416435,0,0
231281,T. Alexander-Arnold,Defender,-6.026215464542879,0.1133508582654068,-43.808243,14.128588,0,0
233049,J. Sancho,Midfielder,-5.1643507695117785,-4.538406208722107,-23.417439,38.439705,2,3
239818,Rúben Dias,Defender,-2.331154594745443,4.73977957174779,-29.440363,-42.147003,3,4
138956,G. Chiellini,Defender,-2.224098873575222,4.7169032316835855,-29.95915,-44.374474,3,4
162835,S. Handanovič,Goalkeeper,11.896048306644133,-1.498422868493827,53.94662,-11.6512985,1,2
178603,M. Hummels,Defender,-3.987811211928384,2.7939224815118866,-34.827053,-38.84457,0,4
189332,Jordi Alba,Defender,-5.694256127011047,0.1749572231410718,-44.36473,11.614265,0,0
189509,Thiago,Midfielder,-6.240978480970432,-1.1939291143058297,-39.3594,19.484793,2,0
189511,Sergio Busquets,Midfielder,-3.751264376264101,2.2449276776743803,-42.828724,-5.185644,0,0
189513,Parejo,Midfielder,-5.558655378849328,-1.1063755731581273,-40.180084,23.446198,2,0
192984,K. Casteels,Goalkeeper,12.29344032122088,-1.788230981976173,59.330555,-14.423086,1,2
198219,L. Insigne,Midfielder,-5.441088675648326,-5.683176695277356,-21.445782,36.181038,2,3
201024,K. Koulibaly,Defender,-0.5321003240899934,5.755831373250352,-21.428051,-48.181316,3,4
201535,R. Varane,Defender,-2.672900089573724,4.053172406733009,-27.752617,-41.910175,0,4
204485,R. Mahrez,Midfielder,-5.373820190799231,-4.900907210929925,-22.004097,37.490036,2,3
208093,Gerard Moreno,Forward,-5.367709773583538,-2.831675325837714,-15.011065,49.47236,2,3
208830,J. Vardy,Forward,-5.389347243398879,-2.250942274926751,-14.956949,50.60417,2,3
209499,Fabinho,Midfielder,-5.147737344654982,2.0860442529984247,-47.285698,0.2094784,0,0
