sofifa_id,short_name,Positions,pca_comp_0,pca_comp_1,tsne_comp_0,tsne_comp_1
158023,L. Messi,Midfielder,-7.294722209773062,-5.6172015208440484,-20.66098,45.00829
188545,R. Lewandowski,Forward,-6.7879080822862585,-3.4282207058137883,-17.469412,48.804157
20801,Cristiano Ronaldo,Forward,-7.030237931176224,-4.690262451446912,-18.36294,48.07736
190871,Neymar Jr,Midfielder,-7.1106107751638365,-5.4917843161381645,-21.086353,44.317654
192985,K. De Bruyne,Midfielder,-7.535135688794935,-2.4530410662210107,-41.43464,21.212772
200389,J. Oblak,Goalkeeper,11.274833229467784,-1.8964591795052914,52.227886,-11.154575
231747,K. Mbappé,Forward,-7.172905500487432,-4.540941216445809,-19.486656,47.03857
167495,M. Neuer,Goalkeeper,10.1794959192306,-2.3891592638764045,50.73364,-8.761728
192448,M. ter Stegen,Goalkeeper,10.780314416291011,-1.7907172588392677,51.030197,-9.271361
202126,H. Kane,Forward,-6.476784423612974,-2.721899973421726,-16.740156,49.600903
215914,N. Kanté,Midfielder,-5.286193443609703,1.9972564899259209,-45.43485,8.871976
165153,K. Benzema,Forward,-6.152167446772855,-3.6587488431900064,-17.181541,48.643345
192119,T. Courtois,Goalkeeper,11.735550797962333,-2.205884380931458,53.138298,-11.406877
200104,H. Son,Midfielder,-6.397998127584579,-4.267457573234038,-21.39809,44.11336
200145,Casemiro,Midfielder,-5.105223908719451,2.3325944824007236,-48.331432,1.0378574
203376,V. van Dijk,Defender,-4.219312992074994,3.4084657587829037,-32.8413,-40.281757
208722,S. Mané,Midfielder,-6.533175146063922,-3.2937749329562394,-19.820013,47.51532
209331,M. Salah,Midfielder,-6.610136759218719,-3.7246400304325955,-19.933298,46.067696
210257,Ederson,Goalkeeper,9.815227096888519,-2.834598080132895,50.63288,-8.600189
212622,J. Kimmich,Midfielder,-6.431671235259421,0.6873532199813489,-44.839386,14.161281
212831,Alisson,Goalkeeper,11.39893241038479,-2.387276628598899,51.450344,-10.37146
230621,G. Donnarumma,Goalkeeper,11.455484634781303,-2.214758774783222,52.410454,-11.140058
155862,Sergio Ramos,Defender,-5.940470563912796,1.9953391661830493,-48.440193,0.60907835
176580,L. Suárez,Forward,-5.451537352985909,-3.2851896482029432,-16.897545,49.93721
182521,T. Kroos,Midfielder,-5.638926274393733,-1.4751545088716749,-40.217,23.500534
192505,R. Lukaku,Forward,-5.054982768806341,-2.7383091852186223,-12.143405,51.209488
193041,K. Navas,Goalkeeper,11.047536433392725,-2.311268614307051,52.573742,-10.581673
202652,R. Sterling,Midfielder,-5.570327805937685,-3.899300909677082,-23.74027,39.45379
212198,Bruno Fernandes,Midfielder,-7.2785229655956,-1.7005973806480823,-41.252167,19.231113
239085,E. Haaland,Forward,-5.440087949014388,-2.600503458954913,-15.275435,52.314503
153079,S. Agüero,Forward,-5.316693613149084,-4.501407749979352,-16.311106,47.510616
167948,H. Lloris,Goalkeeper,11.38590887922709,-1.983950368182484,54.716045,-13.111121
177003,L. Modrić,Midfielder,-6.765751595647892,-1.6941880732621044,-40.123363,20.08192
183898,Á. Di María,Midfielder,-6.3327452732847265,-3.329231095256706,-25.964542,37.967632
186153,W. Szczęsny,Goalkeeper,11.813898478084152,-1.9417086538186248,53.71989,-11.099971
189596,T. Müller,Midfielder,-5.47523930495596,-1.9758301397565505,-15.305679,49.514164
192387,C. Immobile,Forward,-5.149215781984645,-3.153640265507012,-15.259644,51.44696
195864,P. Pogba,Midfielder,-7.109336910292148,-1.0833840544738038,-43.71003,20.603643
199556,M. Verratti,Midfielder,-5.875214735041431,0.0843242488583288,-39.02023,20.33366
207865,Marquinhos,Defender,-4.400649075804943,3.30866056999597,-28.91182,-38.043575
209658,L. Goretzka,Midfielder,-6.7573069881453485,0.512981243968312,-47.76888,7.4310064
211110,P. Dybala,Forward,-6.379605702898835,-4.6458441734717795,-19.461195,39.73478
216267,A. Robertson,Defender,-5.377547597218093,1.2209183856166594,-43.787952,8.579337
228702,F. de Jong,Midfielder,-6.4510925906248895,0.29671362536023826,-45.070904,13.416435
231281,T. Alexander-Arnold,Defender,-6.026215464542877,0.11335085800391248,-43.808243,14.128588
233049,J. Sancho,Midfielder,-5.164350769511809,-4.538406208073649,-23.417439,38.439705
239818,Rúben Dias,Defender,-2.331154594745446,4.7397795719304,-29.440363,-42.147003
138956,G. Chiellini,Defender,-2.2240988735752243,4.716903231585497,-29.95915,-44.374474
162835,S. Handanovič,Goalkeeper,11.896048306644156,-1.498422868639754,53.94662,-11.6512985
178603,M. Hummels,Defender,-3.987811211928383,2.7939224812932104,-34.827053,-38.84457
189332,Jordi Alba,Defender,-5.694256127011049,0.17495722295543842,-44.36473,11.614265
189509,Thiago,Midfielder,-6.240978480970464,-1.1939291136024273,-39.3594,19.484793
189511,Sergio Busquets,Midfielder,-3.7512643762640985,2.244927677739838,-42.828724,-5.185644
189513,Parejo,Midfielder,-5.558655378849333,-1.1063755730530174,-40.180084,23.446198
192984,K. Casteels,Goalkeeper,12.293440321220894,-1.7882309816577686,59.330555,-14.423086
198219,L. Insigne,Midfielder,-5.4410886756483325,-5.683176695726992,-21.445782,36.181038
201024,K. Koulibaly,Defender,-0.532100324089978,5.755831372722962,-21.428051,-48.181316
201535,R. Varane,Defender,-2.672900089573708,4.0531724061375,-27.752617,-41.910175
204485,R. Mahrez,Midfielder,-5.373820190799258,-4.900907210544276,-22.004097,37.490036
208093,Gerard Moreno,Forward,-5.367709773583542,-2.831675326208999,-15.011065,49.47236
208830,J. Vardy,Forward,-5.3893472433988885,-2.250942275016702,-14.956949,50.60417
209499,Fabinho,Midfielder,-5.147737344654989,2.0860442531715124,-47.285698,0.2094784
210514,João Cancelo,Defender,-6.220639380609537,-0.11449950347626532,-44.394936,13.497062
212218,A. Laporte,Defender,-3.0913441165438544,3.66497322130829,-33.20332,-39.963432
213345,K. Coman,Midfielder,-5.151151216482777,-4.779962071602162,-18.161785,40.12131
218667,Bernardo Silva,Midfielder,-5.873996558450626,-2.9189365925643735,-27.049978,35.583538
226161,Marcos Llorente,Midfielder,-6.47449028683946,0.0486131353571077,-47.907074,9.429961
231866,Rodri,Midfielder,-4.722157079522703,1.643807492827523,-49.45065,3.159424
232363,M. Škriniar,Defender,-1.6674496543156687,4.57371660950172,-23.822666,-47.097984
143076,A. Gómez,Midfielder,-5.516426407691065,-4.588384164129446,-22.152605,36.26507
163587,K. Schmeichel,Goalkeeper,11.281278656935273,-2.3603729843647776,53.370472,-9.823203
164240,Thiago Silva,Defender,-3.399783485339477,3.049227213128953,-33.676476,-38.964928
168542,David Silva,Midfielder,-4.958489706693646,-3.175359325632714,-27.474302,28.905485
177683,Y. Sommer,Goalkeeper,11.508759359640525,-2.389049776489313,52.729507,-9.109811
179813,E. Cavani,Forward,-4.887775970024489,-1.7792251350438983,-13.77011,50.537556
183277,E. Hazard,Midfielder,-5.645258628670208,-4.795471068371176,-21.837168,37.942112
184344,L. Bonucci,Defender,-3.7724228844145893,3.218879185611704,-33.124794,-39.280228
185122,P. Gulácsi,Goalkeeper,12.346871382703592,-1.041554039911744,59.234825,-14.285151
186942,İ. Gündoğan,Midfielder,-6.107955900369839,-1.1017790828780145,-40.93929,20.170404
188350,M. Reus,Midfielder,-5.50545950025555,-3.765139813218598,-23.837122,35.305042
188377,K. Walker,Defender,-5.238600149280797,1.4978756166441534,-42.13666,7.215223
188567,P. Aubameyang,Forward,-5.23229413091898,-4.0902213356226085,-17.06795,44.720913
193747,Koke,Midfielder,-6.046877695455547,0.03536312110989193,-39.771114,14.426236
194765,A. Griezmann,Forward,-6.665169411539664,-2.788452003093625,-21.264585,47.138107
198176,S. de Vrij,Defender,-2.014547591342378,4.268344385699965,-26.434507,-41.97685
201942,Roberto Firmino,Forward,-6.483110127838809,-1.9636589778683216,-22.269674,46.626637
202556,M. Depay,Forward,-5.6591945491884905,-4.240284234493887,-18.805084,45.465023
204963,Carvajal,Defender,-4.574415540533844,1.845419820951315,-49.62201,-4.503737
205498,Jorginho,Midfielder,-4.919768602717735,0.10297940711253771,-37.427357,12.160255
206113,S. Gnabry,Midfielder,-5.4721005733887855,-3.7889655394474135,-21.918201,41.522423
223848,S. Milinković-Savić,Midfielder,-6.22900535634901,0.6484336943240332,-48.766518,6.690302
226790,W. Ndidi,Midfielder,-4.503592444323411,2.3883934177592323,-48.7357,1.9055048
230142,Oyarzabal,Midfielder,-5.102414724012464,-3.8314936370900536,-19.227055,40.08638
231478,L. Martínez,Forward,-5.976776292899579,-2.1971472951869577,-19.908855,48.47586
231677,M. Rashford,Midfielder,-6.1549855083470115,-3.5000154009028477,-19.024525,45.596172
235212,A. Hakimi,Defender,-5.8936725078560235,0.2397020950856035,-46.82142,11.213386
235243,M. de Ligt,Defender,-2.9182694710703916,3.556929615049678,-30.50134,-43.899525
41236,Z. Ibrahimović,Forward,-4.942684980304414,-3.5426036092013056,-11.537663,48.784916
146536,Jesús Navas,Defender,-5.600155276603962,-0.38388780070362294,-42.74729,11.585978
152729,Piqué,Defender,-2.80592209149526,3.2143937293912463,-34.9594,-39.48401
175943,D. Mertens,Forward,-5.1207159493829355,-5.18588471681457,-22.022902,36.125748
181291,G. Wijnaldum,Midfielder,-6.6070305789995905,-0.14639055483790908,-42.562084,15.791309
183711,J. Henderson,Midfielder,-5.495946967335517,0.9113470077717822,-45.600925,5.017614
184134,Fernando,Midfielder,-4.278966876133578,2.4504066931617845,-44.662567,0.5686556
186345,K. Trippier,Defender,-5.286541334487981,0.6292125196156249,-41.912872,13.613042
192629,Iago Aspas,Forward,-5.120358798831031,-4.4116067771127145,-15.890926,45.78401
193080,De Gea,Goalkeeper,10.810886269518608,-2.1324718529715394,53.442818,-9.412019
197445,D. Alaba,Defender,-6.029842330193403,0.5828891289140358,-42.078808,14.249792
